Apothecary 1, Apothecary’s Apprentice, Brass 3, Trade (Apothecary), Consume Alcohol, Heal, Language (Classical), Lore (Chemistry), Lore (Medicine), Lore (Plants), Trade (Poisoner), Concoct, Craftsman (Apothecary), Etiquette (Scholar), Read/Write, t, dex, int
Engineer 1, Student Engineer, Brass 4, Trade (Engineer), Consume Alcohol, Cool, Endurance, Language (Classical), Lore (Engineer), Perception, Ranged (Blackpowder), Artistic, Gunner, Read/Write, Tinker, bs, dex, int
Lawyer 1, Student Lawyer, Brass 4, Lore (Law), Consume Alcohol, Endurance, Haggle, Language (Classical), Lore (Theology), Perception, Research, Blather, Etiquette (Scholar), Read/Write, Speedreader, i, dex int
Nun 1, Novitiate, Brass 1, Lore (Theology), Art (Calligraphy), Cool, Endurance, Entertain (Storyteller), Gossip, Heal, Pray, Bless (Any), Stone Soup, Panhandle, Read/Write, dex, int, fel
Physician 1, Physician’s Apprentice, Brass 4, Heal, Bribery, Cool, Drive, Endurance, Gossip, Perception, Sleight of Hand, Bookish, Field Dressing, Read/Write, Strike to Stun, dex, int, wp
Priest 1, Initiate, Brass 2, Pray, Athletics, Cool, Endurance, Intuition, Lore (Theology), Perception, Research, Bless (Any), Holy Visions, Read/Write, Suave, t, agi, wp
Scholar 1, Student, Brass 3, Lore (Any), Consume Alcohol, Entertain (Storytelling), Gamble, Gossip, Haggle, Language (Classical), Research, Carouser, Read/Write, Savvy, Super Numerate, t, int, wp
Wizard 1, Wizard’s Apprentice, Brass 3, Language (Magick), Channelling (Any Colour), Dodge, Intuition, Lore (Magic), Melee (Basic), Melee (Polearm), Perception, Aethyric Attunement, Petty Magic, Read/Write, Second Sight, ws, int, wp
Agitator 1, Pamphleteer, Brass 1, Charm, Art (Writing), Bribery, Consume Alcohol, Gossip, Haggle, Lore (Politics), Trade (Printing), Blather, Gregarious, Panhandle, Read/Write, bs, int, fel
Artisan 1, Apprentice Artisan, Brass 2, Trade (Any), Athletics, Cool, Consume Alcohol, Dodge, Endurance, Evaluate, Stealth (Urban), Artistic, Craftsman (any), Strong Back, Very Strong, s, t, dex
Beggar 1, Pauper, Brass 0, Charm, Athletics, Consume Alcohol, Cool, Dodge, Endurance, Intuition, Stealth (Urban), Panhandle, Resistance (Disease), Stone Soup, Very Resilient, t, agi, fel
